,date,total_laid_off
117,2022-01-26,180.0
118,2022-02-03,57.0
119,2022-02-08,2800.0
120,2022-02-10,138.0
121,2022-02-14,119.0
122,2022-02-21,111.0
123,2022-03-01,190.0
124,2022-03-03,100.0
125,2022-03-08,3100.0
126,2022-03-15,115.0
127,2022-03-16,150.0
128,2022-03-29,450.0
129,2022-04-05,450.0
130,2022-04-08,20.0
131,2022-04-12,100.0
132,2022-04-14,44.0
133,2022-04-15,10.0
134,2022-04-19,200.0
135,2022-04-20,52.0
136,2022-04-25,22.0
137,2022-04-26,340.0
138,2022-04-27,50.0
139,2022-04-28,175.0
140,2022-04-29,495.0
141,2022-05-04,294.0
142,2022-05-05,162.0
143,2022-05-06,812.0
144,2022-05-09,270.0
145,2022-05-10,2840.0
146,2022-05-11,70.0
147,2022-05-12,182.0
148,2022-05-13,22.0
149,2022-05-14,24.0
150,2022-05-16,100.0
151,2022-05-17,240.0
152,2022-05-20,287.0
153,2022-05-23,173.0
154,2022-05-24,40.0
155,2022-05-25,645.0
156,2022-05-31,106.0
157,2022-06-01,190.0
158,2022-06-02,663.0
159,2022-06-03,44.0
160,2022-06-06,50.0
161,2022-06-07,308.0
162,2022-06-08,400.0
163,2022-06-09,1516.0
164,2022-06-10,20.0
165,2022-06-13,339.0
166,2022-06-14,2044.0
167,2022-06-15,283.0
168,2022-06-16,95.0
169,2022-06-17,85.0
170,2022-06-20,101.0
171,2022-06-21,116.0
172,2022-06-22,485.0
173,2022-06-23,415.0
174,2022-06-24,171.0
175,2022-06-26,43.0
176,2022-06-27,707.0
177,2022-06-28,310.0
178,2022-06-29,534.0
179,2022-06-30,532.0
180,2022-07-01,210.0
181,2022-07-03,150.0
182,2022-07-05,278.0
183,2022-07-06,165.0
184,2022-07-07,370.0
185,2022-07-08,1156.0
186,2022-07-11,24.0
187,2022-07-12,1545.0
188,2022-07-13,501.0
189,2022-07-14,135.0
190,2022-07-15,110.0
191,2022-07-18,192.0
192,2022-07-19,1488.0
193,2022-07-20,431.0
194,2022-07-21,499.0
195,2022-07-22,110.0
196,2022-07-25,105.0
197,2022-07-26,61.0
198,2022-07-27,879.0
199,2022-07-28,279.0
200,2022-07-29,133.0
201,2022-08-02,1140.0
202,2022-08-03,202.0
203,2022-08-04,753.0
204,2022-08-05,140.0
205,2022-08-08,936.0
206,2022-08-09,1348.0
207,2022-08-11,325.0
208,2022-08-12,784.0
209,2022-08-15,486.0
210,2022-08-16,5.0
211,2022-08-17,231.0
212,2022-08-18,145.0
213,2022-08-19,920.0
214,2022-08-20,13.0
215,2022-08-21,55.0
216,2022-08-23,198.0
217,2022-08-24,155.0
218,2022-08-25,40.0
219,2022-08-26,124.0
220,2022-08-29,95.0
221,2022-08-30,111.0
222,2022-08-31,1564.0
223,2022-09-01,90.0
224,2022-09-06,40.0
225,2022-09-07,121.0
226,2022-09-08,23.0
227,2022-09-09,5.0
228,2022-09-12,25.0
229,2022-09-13,340.0
230,2022-09-14,830.0
231,2022-09-15,228.0
232,2022-09-16,40.0
233,2022-09-19,29.0
234,2022-09-20,380.0
235,2022-09-21,100.0
236,2022-09-22,110.0
237,2022-09-23,206.0
238,2022-09-27,40.0
239,2022-09-28,671.0
240,2022-09-29,40.0
241,2022-09-30,78.0
242,2022-10-04,40.0
243,2022-10-05,50.0
244,2022-10-06,711.0
245,2022-10-07,205.0
246,2022-10-10,954.0
247,2022-10-11,991.0
248,2022-10-12,150.0
249,2022-10-13,155.0
250,2022-10-14,578.0
251,2022-10-16,24.0
252,2022-10-18,140.0
253,2022-10-19,282.0
254,2022-10-20,107.0
255,2022-10-21,220.0
256,2022-10-24,598.0
257,2022-10-25,180.0
258,2022-10-26,1167.0
259,2022-10-27,97.0
260,2022-10-28,250.0
261,2022-10-31,115.0
262,2022-11-01,925.0
263,2022-11-02,1042.0
264,2022-11-03,1910.0
265,2022-11-04,3759.0
266,2022-11-06,110.0
267,2022-11-07,1350.0
268,2022-11-08,65.0
269,2022-11-09,12688.0
270,2022-11-10,730.0
271,2022-11-11,160.0
272,2022-11-14,1924.0
273,2022-11-15,832.0
274,2022-11-16,14515.0
275,2022-11-17,588.0
276,2022-11-18,1905.0
277,2022-11-21,93.0
278,2022-11-28,33.0
279,2022-11-30,2698.0
280,2022-12-01,273.0
281,2022-12-02,47.0
282,2022-12-05,65.0
283,2022-12-06,1253.0
284,2022-12-07,1089.0
285,2022-12-08,507.0
286,2022-12-09,20.0
287,2022-12-10,43.0
288,2022-12-12,764.0
289,2022-12-13,379.0
290,2022-12-14,162.0
291,2022-12-15,330.0
292,2022-12-21,350.0
293,2022-12-22,153.0
294,2023-01-02,700.0
295,2023-01-03,76.0
296,2023-01-04,16171.0
297,2023-01-05,652.0
298,2023-01-06,200.0
299,2023-01-08,43.0
300,2023-01-09,315.0
301,2023-01-10,2000.0
302,2023-01-11,1525.0
303,2023-01-12,526.0
